Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,90600.000000,91500.000000,89500.000000,91100.000000,90576.320313,17179
2017-04-25,94150.000000,94450.000000,93650.000000,94200.000000,93658.507813,24153
2017-04-26,94400.000000,94500.000000,93100.000000,93450.000000,92912.812500,22561
2017-04-27,96500.000000,96800.000000,95800.000000,96150.000000,95597.289063,20327
2017-04-28,98000.000000,98200.000000,97450.000000,98100.000000,97536.085938,33807
2017-05-02,100000.000000,100300.000000,98950.000000,99500.000000,98928.031250,36506
2017-05-03,99700.000000,99700.000000,99150.000000,99400.000000,98828.609375,24698
2017-05-04,100100.000000,100500.000000,99700.000000,99950.000000,99375.445313,26627
2017-05-05,99150.000000,100180.000000,98600.000000,99000.000000,98430.914063,25188
2017-05-08,102600.000000,103000.000000,99934.000000,102400.000000,101811.359375,39937
2017-05-09,102800.000000,103800.000000,102300.000000,103500.000000,102905.039063,20672
2017-05-10,100600.000000,102400.000000,99900.000000,100800.000000,100220.562500,26953
2017-05-11,101200.000000,101300.000000,99700.000000,99700.000000,99126.890625,16761
2017-05-12,100500.000000,101800.000000,99950.000000,101100.000000,100518.835938,28551
2017-05-15,103000.000000,103500.000000,102359.000000,103500.000000,102905.039063,21031
2017-05-16,104000.000000,104300.000000,103000.000000,103500.000000,102905.039063,10557
2017-05-17,103500.000000,103900.000000,102100.000000,102200.000000,101612.515625,14233
2017-05-18,101600.000000,101790.000000,99650.000000,100400.000000,99822.859375,51557
2017-05-19,99500.000000,100516.000000,98950.000000,99700.000000,99126.890625,28305
2017-05-22,101100.000000,101400.000000,100164.000000,101000.000000,100419.414063,17249
2017-05-23,99800.000000,100604.000000,99400.000000,99900.000000,99325.734375,19237
2017-05-24,99400.000000,100683.000000,99400.000000,100400.000000,99822.859375,15071
2017-05-25,102200.000000,102600.000000,101400.000000,102100.000000,101513.093750,17924
2017-05-26,102800.000000,103400.000000,102400.000000,103400.000000,102805.617188,21624
2017-05-30,98950.000000,100000.000000,98600.000000,100000.000000,99425.156250,29083
2017-05-31,100100.000000,100300.000000,99200.000000,99300.000000,98729.179688,14027
2017-06-01,99300.000000,100200.000000,99300.000000,100200.000000,99624.007813,14108
2017-06-02,102500.000000,102800.000000,100200.000000,102300.000000,101711.937500,11070
2017-06-05,103000.000000,103000.000000,102300.000000,102600.000000,102010.210938,6626
2017-06-06,102200.000000,102500.000000,101500.000000,101500.000000,100916.531250,16837
2017-06-07,101100.000000,101500.000000,100600.000000,101200.000000,100618.265625,19013
2017-06-08,100800.000000,101500.000000,100600.000000,101400.000000,100817.117188,14581
2017-06-09,102300.000000,103500.000000,102200.000000,103400.000000,102805.617188,18357
2017-06-12,100600.000000,100600.000000,99400.000000,100200.000000,99624.007813,30572
2017-06-13,100300.000000,101700.000000,100253.000000,101400.000000,100817.117188,58960
2017-06-14,101200.000000,102200.000000,101000.000000,102000.000000,101413.664063,12870
2017-06-15,101900.000000,101900.000000,99800.000000,99850.000000,99276.023438,15569
2017-06-16,100100.000000,101300.000000,99700.000000,99750.000000,99176.601563,33884
2017-06-19,102500.000000,103300.000000,99750.000000,102800.000000,102209.062500,5034
2017-06-20,105500.000000,105500.000000,104200.000000,104200.000000,103601.015625,3478
2017-06-21,104100.000000,104200.000000,103700.000000,104000.000000,103402.164063,738
2017-06-22,104500.000000,105200.000000,104042.000000,105100.000000,104495.843750,4696
2017-06-23,104400.000000,105000.000000,104200.000000,104300.000000,103700.445313,920
2017-06-26,104300.000000,104300.000000,104300.000000,104300.000000,103700.445313,0
2017-06-27,104300.000000,104300.000000,104300.000000,104300.000000,103700.445313,0
2017-06-28,104800.000000,105100.000000,104200.000000,104600.000000,103998.718750,6498
2017-06-29,104200.000000,105400.000000,104100.000000,104100.000000,103806.210938,6210
2017-06-30,104200.000000,104450.000000,103500.000000,103500.000000,103207.906250,1230
2017-07-03,103400.000000,103700.000000,102800.000000,103400.000000,103108.187500,10840
2017-07-04,103000.000000,103000.000000,101600.000000,101600.000000,101313.265625,9348
