힘스,238490,특수 목적용 기계 제조업,2017-07-20,12
제일약품,271980,의약품 제조업,2017-07-17,12
브이원텍,251630,특수 목적용 기계 제조업,2017-07-13,12
아우딘퓨쳐스,227610,기타 화학제품 제조업,2017-07-12,12
이녹스첨단소재,272290,전자부품 제조업,2017-07-10,12
카카오,035720,자료처리| 호스팅| 포털 및 기타 인터넷 정보매개 서비스업,2017-07-10,12
오리온,271560,기타 식품 제조업,2017-07-07,12
하림지주,003380,기타 금융업,2017-06-30,12
메디안디노스틱,233250,의료용품 및 기타 의약 관련제품 제조업,2017-06-26,12
하나금융9호스팩,261200,금융 지원 서비스업,2017-06-26,12
나인테크,267320,특수 목적용 기계 제조업,2017-06-22,12
다이오진,271850,자연과학 및 공학 연구개발업,2017-06-19,12
에스알바이오텍,270210,기타 화학제품 제조업,2017-06-15,12
뿌리깊은나무들,266170,영화| 비디오물| 방송프로그램 제작 및 배급업,2017-06-09,12
보라티알,250000,음·식료품 및 담배 도매업,2017-06-08,12
매일유업,267980,낙농제품 및 식용빙과류 제조업,2017-06-05,12
삼양옵틱스,225190,사진장비 및 광학기기 제조업,2017-06-02,12
이랜시스,264850,전자부품 제조업,2017-06-01,12
필옵틱스,161580,특수 목적용 기계 제조업,2017-06-01,12
SGA임베디드,224880,소프트웨어 개발 및 공급업,2017-05-23,12
미원에스씨,268280,기초 화학물질 제조업,2017-05-22,12
경동도시가스,267290,연료용 가스 제조 및 배관공급업,2017-05-12,12
넷마블,251270,소프트웨어 개발 및 공급업,2017-05-12,12
현대건설기계,267270,일반 목적용 기계 제조업,2017-05-10,12
현대일렉트릭,267260,전동기| 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2017-05-10,12
현대중공업지주,267250,석유 정제품 제조업,2017-05-10,12
포인트엔지니어링,256630,기타 금속 가공제품 제조업,2017-05-02,12
앙츠,267810,컴퓨터 및 통신장비 수리업,2017-04-28,12
하나머티리얼즈,166090,반도체 제조업,2017-04-28,12
소프트캠프,258790,소프트웨어 개발 및 공급업,2017-04-27,12
와이엠티,251370,기초 화학물질 제조업,2017-04-27,12
엠앤씨생명과학,225860,기타 화학제품 제조업,2017-04-25,12
파워풀엑스,266870,생활용품 도매업,2017-04-24,12
크라운제과,264900,기타 식품 제조업,2017-04-11,12
AP시스템,265520,특수 목적용 기계 제조업,2017-04-07,12
유에스티,263770,1차 철강 제조업,2017-04-06,12
이엘피,063760,측정| 시험| 항해| 제어 및 기타 정밀기기 제조업; 광학기기 제외,2017-04-06,12
유비쿼스,264450,통신 및 방송 장비 제조업,2017-03-31,12
서진시스템,178320,통신 및 방송 장비 제조업,2017-03-27,12
코미코,183300,특수 목적용 기계 제조업,2017-03-23,12
아스타,246720,의료용품 및 기타 의약 관련제품 제조업,2017-03-20,12
덴티움,145720,의료용 기기 제조업,2017-03-15,12
에스디생명공학,217480,기타 화학제품 제조업,2017-03-02,12
신신제약,002800,의약품 제조업,2017-02-28,12
에프엔에스테크,083500,특수 목적용 기계 제조업,2017-02-27,12
모바일어플라이언스,087260,소프트웨어 개발 및 공급업,2017-02-24,12
피씨엘,241820,의료용품 및 기타 의약 관련제품 제조업,2017-02-23,12
호전실업,111110,봉제의복 제조업,2017-02-02,12
서플러스글로벌,140070,기계장비 및 관련 물품 도매업,2017-01-25,12
유바이오로직스,206650,의약품 제조업,2017-01-24,12
케미메디,205290,자연과학 및 공학 연구개발업,2017-01-13,12
에스앤디,260970,기타 식품 제조업,2016-12-29,12
도부마스크,227420,기타 전문 도매업,2016-12-28,12
한국비엔씨,256840,기초 의약물질 및 생물학적 제제 제조업,2016-12-28,12
전우정밀,120780,자동차 신품 부품 제조업,2016-12-23,12
피엔아이컴퍼니,242350,영화| 비디오물| 방송프로그램 제작 및 배급업,2016-12-22,12
퓨전,195440,소프트웨어 개발 및 공급업,2016-12-21,12
DSC인베스트먼트,241520,신탁업 및 집합투자업,2016-12-19,12
TS인베스트먼트,246690,신탁업 및 집합투자업,2016-12-15,12
셀젠텍,258250,소프트웨어 개발 및 공급업,2016-12-13,12
마이크로프랜드,147760,측정| 시험| 항해| 제어 및 기타 정밀기기 제조업; 광학기기 제외,2016-12-12,12
코썬바이오,204990,기타 식품 제조업,2016-12-09,12
바이오프로테크,199290,의료용 기기 제조업,2016-12-08,12
애니젠,196300,기초 의약물질 및 생물학적 제제 제조업,2016-12-07,12
유니온커뮤니티,203450,통신 및 방송 장비 제조업,2016-12-07,12
신라젠,215600,자연과학 및 공학 연구개발업,2016-12-06,12
자비스,254120,특수 목적용 기계 제조업,2016-12-02,12
핸즈코퍼레이션,143210,자동차 신품 부품 제조업,2016-12-02,12
오션브릿지,241790,특수 목적용 기계 제조업,2016-12-01,12
퓨쳐켐,220100,의약품 제조업,2016-12-01,12
뉴파워프라즈마,144960,특수 목적용 기계 제조업,2016-11-30,12
엘앤케이바이오,156100,의료용 기기 제조업,2016-11-30,12
스템랩,258540,자연과학 및 공학 연구개발업,2016-11-29,12
시큐센,232830,소프트웨어 개발 및 공급업,2016-11-29,12
에이치엔티,176440,전자부품 제조업,2016-11-28,12
핸디소프트,220180,소프트웨어 개발 및 공급업,2016-11-24,12
두산밥캣,241560,특수 목적용 기계 제조업,2016-11-18,12
